model,acc_train,acc_test,overfit_gap,infer_ms_per_sample,macro_f1
RandomForest,1.0,0.9236390208257216,0.07636097917427842,0.03575703324808182,0.933047548877053
MLP,0.9458236903008627,0.9265619291194739,0.01926176118138878,0.00161155766654585,0.9352073322783762
XGBoost,1.0,0.9207161125319693,0.07928388746803072,0.004876580197296569,0.9334179698747318
